 ITEM: STEP
        42
 ITEM: DT
 0.01
 ITEM: TIME
 0.42
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
 21.852322 13.721965 45.296116
 36.765888 96.712753 99.985329
 29.580538 67.841843 48.565952
 20.534674 77.652527 82.267021
  9.633444 59.899467 87.052895
 30.137363 95.543686 34.413177
  9.439079 34.215927 93.674759
 42.237022 73.608093 85.590111
 95.329819 99.873688 88.356186
 31.488701 96.992401  9.330529
 94.090187 34.624115 97.997986
 19.461851 75.340050 99.886971
 12.168528 70.311470 74.825821
 81.714912 81.067574 99.106247
  7.153747  7.427856 34.298832
 69.452110 43.580875 71.787567
 65.672356 17.078745 63.905098
 82.875526 75.840668 91.010101
 47.120831 90.334030 27.167667
 97.307846 98.560394 83.389206
 90.006424 91.302078 68.122688
 99.994293 74.972588 53.662670
 44.144718 88.181435 60.914402
 66.413277 54.520950 89.230347
 49.713226 38.496056 22.565701
  7.329678  2.138606 52.389736
 81.342178 81.752571 99.694237
 96.981461 27.910702 44.839073
 81.365921 17.478691 99.519432
 90.688438 22.559412 52.518047
 43.792339 59.303474 81.219330
 79.515892  1.689975 77.314713
 95.323639 20.163162 36.238319
 36.251495 47.993820 94.749901
 42.673073 88.836258 84.528015
 97.071899  2.587662 47.864761
 51.757351 90.346512 48.994144
 56.869064 76.656837 92.337334
  3.711622 94.581940 94.265366
 62.149933 10.806562 82.041565
 10.825417  3.769092 89.357643
 85.267525  3.249121 74.025421
 75.737488 62.907116 99.724228
 55.283703 62.596542 88.702682
 43.742649 26.213058 65.801865
 43.347729 93.161697 98.859222
 90.490921 97.279999 98.950645
 14.719059 81.907486 79.351677
 34.109604 44.509266 52.204819
 16.270823 75.246208 99.682098
 47.379662 38.398060 58.284943
  2.776946 84.191406 88.850769
 46.178341 74.132561 86.801880
  6.727294 72.732780 95.404602
 74.914566 89.959747 99.452721
  2.036015 88.354958 45.667057
 75.366356 44.821926 85.440887
 92.114578 55.487167 81.215103
  8.586011  5.722084 23.715332
 31.401390 11.436317 60.281788
 20.703371 86.485222 26.107033
 59.160347 92.586060 75.614151
 11.896688 50.922256 36.106358
 73.522751 46.282940 98.915459
 83.330627 69.086861 70.197014
 92.028778 34.466225 51.042507
 71.350304 31.903486 95.459534
 10.553062  8.642616 43.184956
 30.751270 42.449142 98.929169
 54.843224 76.400612 42.817543
 51.724533 44.736618 50.434353
 42.783142  8.279879 68.983765
 34.213940 28.386511 99.476120
 48.734165 16.643227 46.594501
 60.051914 42.928345 53.481392
 47.643772 20.968018  8.411662
 89.539711 54.782413 72.383873
 96.640076 22.096478 98.538513
 25.720917 50.920906 15.564495
 71.258156 19.290178 51.090298
 14.983562 48.872253 57.293674
 17.626934 10.565569 76.544548
 91.067795 39.463474 96.676559
 34.917080 24.477512 67.377701
 28.729416 94.747429 61.637875
 86.906052 35.631695 64.598351
 23.352718 64.596291 25.770927
 25.958065 45.288532 72.655617
 31.890730 96.257469 66.225670
 79.380394 60.223701 35.663399
 24.520664 16.451403 79.219711
 43.816952 27.637526 89.113510
 43.713364 74.188683 67.332146
 50.134758  0.299383 39.253387
  4.763797  2.533890 13.090657
 73.652618 13.950596 96.226654
 65.129021 78.413910 99.826942
 67.330765 78.289185 76.398743
 56.818657 68.157173 59.210445
 16.484390 99.759262 75.107460
