 ITEM: STEP
        39
 ITEM: DT
 0.01
 ITEM: TIME
 0.39
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
 22.648087 12.424917 42.715359
 34.654854 97.334007 99.419075
 32.557014 65.084709 46.953835
 22.356625 80.615082 82.210030
 10.186834 57.816906 85.559029
 32.982220 92.973846 33.160805
 10.719221 36.895870 90.760338
 41.251595 74.688644 83.799477
 95.202515 99.833221 85.688499
 32.651375 96.535233  8.817187
 93.958191 35.319355 97.982086
 19.508841 74.615891 99.550461
 14.869225 69.446960 72.984261
 81.802864 81.592438 99.492630
  8.239101  9.000958 34.139656
 70.407692 42.801395 71.297073
 64.649162 14.832058 62.361450
 85.649345 74.205467 90.805275
 44.150505 90.222725 27.155611
 94.573509 98.335197 80.480415
 89.441750 88.827980 67.216339
 97.444611 75.785988 53.344810
 42.622414 89.998047 58.515789
 67.388222 53.824154 87.414421
 50.952965 37.383289 21.946026
  4.866179  0.508970 50.238865
 81.908142 79.664070 99.905197
 95.651337 30.385063 42.154404
 80.279236 19.021915 99.414253
 90.783768 22.666449 52.222446
 42.093899 61.796329 78.507080
 77.573624  0.865355 76.506256
 96.131477 21.974407 35.030956
 36.413601 46.121761 94.713692
 45.452087 87.282860 82.776749
 95.706345  3.869755 46.092072
 52.882797 89.989914 47.181137
 57.757172 76.389961 91.307571
  5.808034 96.588181 93.649376
 63.128403 12.164144 81.004684
  8.359618  5.822876 89.003654
 83.371994  2.954799 71.081085
 78.336235 61.437763 99.629631
 54.348961 63.493919 88.697556
 42.579243 26.926826 64.637451
 45.926414 91.914864 98.598381
 88.053467 95.986244 98.035278
 14.783558 80.012207 78.138145
 31.462023 46.859505 49.272293
 15.488325 72.422424 99.907333
 49.161392 37.229481 56.275211
  0.820972 86.013718 87.039810
 46.512394 74.820854 84.858444
  5.673069 71.998871 94.350052
 72.884590 88.795311 99.003151
  0.490983 89.630264 44.480911
 73.589615 46.809547 82.804329
 93.820984 54.817471 80.588081
  8.457128  5.135750 23.198013
 33.334332 12.250948 60.222908
 21.458223 88.794113 24.574846
 58.147877 93.436951 75.088570
 13.722504 53.845249 33.568310
 75.702301 46.290665 99.310341
 82.829994 67.331955 67.592133
 92.750488 31.882675 48.943535
 70.976013 29.084503 95.148643
 11.292880 10.449075 40.632511
 29.377207 41.488331 98.135147
 56.288647 76.969910 42.444054
 48.814003 42.890491 50.050999
 45.745182  9.347206 66.578171
 36.973373 30.970135 99.666298
 47.783276 16.739019 45.277927
 62.880402 43.032234 52.329624
 48.903481 21.061825  8.038479
 92.381233 56.462006 71.858681
 95.206337 24.248585 97.539810
 28.257792 53.157082 15.559274
 71.792091 16.333271 49.571518
 15.068935 51.370796 55.713680
 17.457956 13.406528 74.551331
 92.522247 38.881039 95.801338
 37.197830 27.113201 64.737274
 28.916864 97.196945 59.794724
 85.403625 36.238255 63.680973
 23.374903 65.872101 24.183804
 27.554178 47.410416 71.595413
 30.361994 94.981384 63.822433
 81.106529 57.638229 33.268574
 25.659740 16.834528 76.259399
 44.755161 30.419739 86.367821
 46.054562 71.829414 65.603127
 52.029911  1.853859 37.530628
  4.499752  0.054145 12.969573
 72.189056 15.443214 95.340034
 64.133041 78.089424 99.653084
 67.986168 75.922180 74.133018
 58.739742 70.541756 58.091969
 18.850279 99.754051 75.002953
