 ITEM: STEP
        95
 ITEM: DT
 0.01
 ITEM: TIME
 0.95
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
  7.793794 36.636513 90.889297
 74.066803 85.750290 99.418961
 23.003906 83.448799 77.046608
 11.653108 25.314196 83.273872
  0.144398 96.692032 99.502251
 20.121790 59.055794 56.538429
 13.176744 13.129756 98.532135
 59.645504 54.516853 99.317955
 97.579750 99.412910 99.916153
 10.948128 94.930954 18.399569
 96.422180 22.341589 98.278664
 18.631935 88.133957 99.925507
 60.601410 60.742157 29.066004
 96.380966 86.138268 99.104301
 12.020860 20.363621 37.110939
 52.570305 57.351688 80.452957
 83.748772 56.770279 91.176208
 33.871391 95.270790 94.628700
 99.596443 92.300423 27.380663
 54.386574 97.460793 99.872375
 99.982338 64.988853 84.134857
 54.748260 60.602516 59.278191
 71.038818 56.087952 98.492676
 49.189697 66.831360 99.520584
 27.811180 58.154926 33.513287
 50.851528 30.928865 90.388458
 55.122612 95.694305 99.903130
 79.519684 15.803018 92.268234
 95.639030 26.521193 99.969490
 89.004288 20.668432 57.740330
 73.798126 15.263075 99.794922
 86.170700 46.834122 91.597443
 81.051826 11.835511 57.568401
 33.387630 81.066963 95.389595
  6.422733 83.720879 99.710320
 78.803299 20.062651 79.182281
 31.874466 96.646408 81.023834
 74.936653 59.919754 98.454239
 33.324192 59.138107 99.780098
 44.863632 13.177369 99.640213
 54.387897 32.514439 95.611443
 81.244652  8.449010 99.475555
  3.930913 30.157028 99.047386
 71.797577 46.742882 88.793259
 64.296165 13.603147 86.373169
  2.210330 84.818428 99.706787
 66.447388 79.863670 99.523743
 13.579571 84.609253 99.209267
 80.883575  2.988308 98.147720
 73.764893 99.705544  1.306508
 15.902420 59.042957 93.790024
 37.332687 51.996895 99.112831
 40.277111 61.974049 99.593758
 25.352377 85.698868 99.974297
 89.223236 89.467186 99.967430
 46.679619 65.824539 66.622276
 93.243080  9.708917 99.618591
 61.968063 67.318420 92.292488
 10.862950 16.080627 32.854630
  2.747236  2.955474 61.321999
  7.367614 45.694809 53.175739
 77.047173 77.553650 84.899422
 20.359390  0.717329 80.945198
 35.017311 46.146538 99.506859
 92.175148 99.909805 99.412704
 79.278564 80.108932 88.124481
 77.962769 81.705421 99.915627
  2.517030 23.271471 88.278145
 55.026489 59.423481 99.907730
 29.307415 66.343018 49.415867
 96.856102 77.351440 57.206944
 12.502408 11.035190 99.703629
 17.496624 16.798765 99.710075
 65.533218 14.950888 69.853973
 10.081931 41.092964 73.829384
 25.388893 19.310757 15.004566
 39.339485 25.109594 81.662270
 74.234268  0.815005 99.702393
 19.097214 11.415132 15.656739
 61.825294 71.528801 77.922180
 13.475284  4.731287 85.207100
 20.612207 39.624722 99.798752
 65.372467 49.753170 99.885704
  5.386607 22.088531 99.945740
 25.417826 51.472641 94.200401
 86.551086 24.915806 80.805420
 22.960794 42.056778 53.810116
  2.239926  7.801859 91.385880
 43.084969 91.309181 93.959007
 48.885338 94.099625 77.972038
  4.402988  9.681318 98.085098
 27.241917 21.514877 99.181038
  2.352141 84.130913 97.878143
 16.653721 27.163019 69.688766
  9.428604 48.255856 15.229812
 99.509544 12.417794 99.477600
 82.724747 84.146492 99.306969
 71.565552 69.782921 82.204636
 22.879511 26.029381 78.970200
 25.312965 99.272575 76.953758
