 ITEM: STEP
        47
 ITEM: DT
 0.01
 ITEM: TIME
 0.47
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
 20.526047 15.883711 49.597378
 40.284218 95.677536 99.418961
 24.619743 72.437065 51.252815
 17.498089 72.714935 82.362007
  8.711126 63.370403 89.542671
 25.395933 99.826752 36.500465
  7.305511 29.749355 98.532127
 43.879398 71.807167 88.574501
 95.541992 99.941132 92.802330
 29.550911 97.754349 10.186099
 94.310181 33.465382 98.024498
 19.383551 76.546982 99.925507
  7.667366 71.752319 77.895088
 83.098495 81.545982 99.104301
  5.344822  4.806020 34.564125
 67.859474 44.880009 72.605057
 67.377678 20.823223 66.477844
 78.252495 78.566002 91.351479
 52.071373 90.519539 27.187761
 98.134926 98.935722 88.237190
 90.947548 95.425575 69.633270
 95.725800 73.616920 54.192436
 46.681892 85.153748 64.912094
 64.788368 55.682278 92.256889
 47.646996 40.350666 23.598492
 11.435513  4.854666 55.974522
 78.868752 83.880249 99.903130
 99.198334 23.786766 49.313522
 83.177063 14.906653 99.874870
 90.529556 22.381018 53.010715
 46.623074 55.148716 85.739746
 82.753006  5.948859 78.662140
 93.977242 17.144421 38.250591
 35.981319 51.113918 94.810249
 38.041382 91.425255 87.446793
 99.347824  0.450840 50.819244
 49.881607 90.940842 52.015823
 55.388885 77.101631 94.053604
  0.217604 91.238205 95.292015
 60.519150  8.543927 83.769699
 14.935081  0.346119 89.947624
 88.426743  3.739658 78.932648
 71.406242 65.356041 99.078087
 56.841606 61.100914 88.711227
 45.681660 25.023445 67.742554
 39.049980 95.239555 99.706573
 94.553345 99.436256 99.523743
 14.611561 85.066284 81.374229
 38.522236 40.592201 57.092361
 17.574970 79.952515 99.271530
 44.410110 40.345692 61.634495
  6.036901 81.154221 91.869034
 45.621586 72.985420 90.040939
  8.484338 73.955963 97.162186
 78.297859 91.900475 99.967430
  6.247678 86.229446 47.643967
 78.327591 41.509224 89.835152
 89.270569 56.603329 82.260139
  8.800817  6.699306 24.577530
 28.179821 10.078600 60.379921
 19.445284 82.637070 28.660677
 60.847797 91.167908 76.490120
  8.853661 46.050602 40.336437
 69.890167 46.270065 99.506859
 84.165016 72.011703 74.538483
 90.825928 38.772141 54.540794
 71.974121 36.601784 95.977684
  9.320033  5.631852 47.439030
 33.041382 44.050495 99.907730
 52.434185 75.451782 43.440025
 56.575417 47.813496 51.073277
 37.846409  6.500999 72.993088
 29.614883 24.080471 99.666298
 50.318981 16.483572 48.788792
 55.337769 42.755196 55.401005
 45.544258 20.811672  9.033634
 84.803841 51.983093 73.259193
 99.029640 18.509632 99.796982
 21.492792 47.193947 15.573197
 70.368263 24.218357 53.621597
 14.841274 44.708015 59.926998
 17.908564  5.830638 79.866577
 88.643707 40.434200 98.135262
 31.115829 20.084698 71.778412
 28.417002 90.664902 64.709801
 89.410095 34.620762 66.127319
 23.315744 62.469925 28.416134
 23.297876 41.752060 74.422623
 34.438622 98.384277 70.231064
 76.503502 64.532822 39.654774
 22.622204 15.812860 84.153564
 42.253269 23.000504 93.689659
 39.811367 78.120796 70.213844
 46.976170  2.291411 42.124653
  5.203872  6.847283 13.292464
 76.091888 11.462898 97.704353
 66.788986 78.954720 99.306969
 66.238426 82.234192 80.174950
 53.616848 64.182869 61.074574
 12.541243 99.272575 75.281639
