 ITEM: STEP
        29
 ITEM: DT
 0.01
 ITEM: TIME
 0.29
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
 25.300636  8.101425 34.112835
 27.618073 99.404854 99.419075
 42.478622 55.894299 41.580109
 28.429794 90.490265 82.020058
 12.031469 50.875034 80.579475
 42.465061 84.407715 28.986227
 14.986361 45.829014 81.045601
 37.966835 78.290482 77.830696
 94.778168 99.698334 76.796211
 36.526955 95.011337  7.106050
 93.518204 37.636799 97.929138
 19.665472 72.202026 97.675232
 23.871548 66.565262 66.845726
 83.633003 84.682953 99.492630
 11.856945 14.244627 33.609070
 73.592964 40.203129 69.662094
 61.238552  7.343101 57.215958
 94.895409 68.754799 90.122520
 34.249420 89.851707 27.115423
 85.459053 97.584541 70.784447
 87.559502 80.580986 64.195175
 88.907623 78.497322 52.285278
 37.548065 96.053421 50.520412
 70.638039 51.501499 81.361336
 55.085426 33.674068 19.880444
  3.345487  4.923150 43.069294
 82.257721 71.361382 97.464722
 91.217590 38.632935 33.205505
 76.656952 24.165997 99.874870
 91.101532 23.023237 51.237110
 36.432430 70.105820 69.466248
 71.099396  9.383121 73.811401
 98.824272 28.011890 31.006411
 36.953953 39.881565 94.592995
 54.715469 82.104866 76.939194
 91.154495  8.143398 40.183105
 56.634285 88.801254 41.137779
 60.717529 75.500374 87.875031
 12.796073 96.724350 91.596077
 66.389969 16.689413 77.548416
  0.140289 12.668825 87.823692
 77.053558  1.973726 61.266644
 86.998726 56.539921 95.201241
 51.233154 66.485176 88.680466
 38.701221 29.306053 60.756039
 54.522034 87.758751 99.706688
 79.928619 91.673729 94.984055
 14.998554 73.694611 74.093040
 22.636740 54.693634 39.497208
 12.879997 63.009819 99.271530
 55.100494 33.334217 49.576107
  5.698938 92.088089 81.003281
 47.625904 77.115166 78.380325
  2.158984 69.552505 90.834885
 66.118004 84.913857 95.849754
  8.914310 93.881287 40.527092
 67.667145 53.434952 74.015800
 99.509003 52.585148 78.498009
  8.027516  3.181304 21.473618
 39.777470 14.966383 60.026642
 23.974398 96.490417 19.467558
 54.772976 96.273254 73.336632
 19.808552 63.588558 25.108166
 82.967468 46.316414 99.506859
 81.161217 61.482273 58.909195
 95.156189 23.270863 41.946960
 69.728378 19.687899 94.112350
 13.758944 16.470608 32.124363
 24.796995 38.285625 97.950607
 61.106724 78.867569 41.199089
 39.112236 36.736736 48.773151
 55.618649 12.904964 58.559525
 46.171486 39.582199 99.666298
 44.613644 17.058329 40.889347
 72.308723 43.378532 48.490398
 53.102509 21.374516  6.794535
 98.147026 62.060646 70.108040
 90.427208 31.422276 94.210800
 36.714050 60.611000 15.541869
 73.571877  6.476923 44.508919
 15.353512 59.699272 50.447033
 16.894697 22.876396 67.907272
 97.370422 36.939587 92.883934
 44.800331 35.898830 55.935860
 29.541693 94.638000 53.650887
 80.395538 38.260120 60.623074
 23.448851 70.124802 18.893391
 32.874554 54.483360 68.061401
 25.266207 90.727768 55.811646
 86.860313 49.019989 25.285809
 29.456661 18.111612 66.391693
 47.882526 39.693768 77.215523
 53.858555 63.965183 59.839733
 58.347088  7.035448 31.788097
  3.619600  8.680931 12.565959
 67.310516 20.418608 92.384636
 60.813072 77.007805 99.306969
 70.170845 68.032166 66.580605
 65.143356 78.490364 54.363712
 26.736574 99.272575 74.654594
