 ITEM: STEP
        35
 ITEM: DT
 0.01
 ITEM: TIME
 0.35
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
 23.709106 10.695520 39.274349
 31.840141 98.162346 99.419075
 36.525658 61.408543 44.804344
 24.785892 84.565155 82.134041
 10.924688 55.040157 83.567207
 36.775356 89.547394 31.490973
 12.426077 40.469128 86.874443
 39.937691 76.129379 81.411964
 95.032776 99.779266 82.131584
 34.201607 95.925674  8.132731
 93.782196 36.246342 97.960907
 19.571493 73.650345 98.800369
 18.470154 68.294281 70.528847
 82.534920 82.828644 99.492630
  9.686241 11.098428 33.927422
 71.681801 41.762089 70.643082
 63.284916 11.836475 60.303253
 89.347771 72.025200 90.532173
 40.190071 90.074318 27.139536
 90.927727 98.034935 76.602028
 88.688850 85.529182 66.007874
 94.029816 76.870522 52.920998
 40.592674 92.420197 55.317638
 68.688148 52.895092 84.993187
 52.605949 35.899601 21.119793
  1.581512  1.663878 47.371037
 82.047974 76.342995 99.042770
 93.877838 33.684212 38.574844
 78.830322 21.079548 99.874870
 90.910873 22.809164 51.828312
 39.829311 65.120132 74.890747
 74.983932  4.272461 75.428314
 97.208595 24.389400 33.421139
 36.629742 43.625683 94.665413
 49.157440 85.211662 80.441727
 93.885605  5.579212 43.728485
 54.383392 89.514450 44.763794
 58.941315 76.034126 89.934555
  8.603250 99.263168 92.828056
 64.433029 13.974252 79.622177
  5.071887  8.561255 88.531670
 80.844620  2.562370 67.155304
 81.801231 59.478626 99.078087
 53.102638 64.690422 88.690720
 41.028034 27.878517 63.084888
 49.364662 90.252419 99.706688
 84.803528 94.261238 96.814789
 14.869556 77.485168 76.520103
 27.931910 49.993156 45.362259
 14.444994 68.657379 99.271530
 51.537033 35.671375 53.595570
  1.786992 88.443466 84.625198
 46.957798 75.738579 82.267197
  4.267435 71.020325 92.943985
 70.177956 87.242729 98.938011
  3.860314 91.330673 42.899384
 71.220627 49.459709 79.288918
 96.096191 53.924541 79.752052
  8.285283  4.353971 22.508255
 35.911587 13.337122 60.144402
 22.464693 91.872635 22.531931
 56.797916 94.571472 74.387794
 16.156925 57.742573 30.184250
 78.608368 46.300964 99.506859
 82.162483 64.992081 64.118958
 93.712769 28.437950 46.144905
 70.476959 25.325859 94.734123
 12.279304 12.857686 37.229252
 27.545122 40.207249 99.907730
 58.215878 77.728973 41.946068
 44.933296 40.428989 49.539860
 49.694569 10.770309 63.370712
 40.652618 34.414963 99.666298
 46.515423 16.866743 43.522495
 66.651726 43.170753 50.793934
 50.583092 21.186901  7.540902
 96.169930 58.701462 71.158424
 93.294685 27.118061 96.208206
 31.640291 56.138649 15.552312
 72.504005 12.390732 47.546478
 15.182766 54.702187 53.607021
 17.232653 17.194473 71.893707
 94.461517 38.104458 94.634377
 40.238831 30.627453 61.216713
 29.166796 99.537033 57.337189
 83.400391 37.047001 62.457813
 23.404482 67.573181 22.067638
 29.682329 50.239594 70.181808
 28.323679 93.279938 60.618118
 83.408043 54.190933 30.075470
 27.178509 17.345362 72.312317
 46.006107 34.129353 82.706902
 49.176159 68.683723 63.297771
 54.556782  3.926495 35.233616
  4.147691  3.504860 12.808127
 70.237640 17.433372 94.157875
 62.805054 77.656776 99.306969
 68.860039 72.766174 71.112053
 61.301189 73.721199 56.600666
 22.004797 99.272575 74.863609
