 ITEM: STEP
        88
 ITEM: DT
 0.01
 ITEM: TIME
 0.88
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
  9.650572 33.610062 84.867584
 69.140175 87.198013 98.823524
 16.058794 89.882111 73.285027
  7.401902 32.226810 83.140892
  1.147723 91.832161 99.004265
 13.483788 65.052109 53.616226
 10.189737  6.876545 99.503601
 57.346359 57.038460 99.914803
 97.282440 99.506851 99.194618
 13.661034 95.997681 17.201771
 96.114243 23.963835 98.241745
 18.741550 86.444092 99.737984
 58.790070 11.380096 98.607635
 94.443939 85.468559 99.700790
  9.488365 16.693043 36.739529
 54.799969 55.532902 79.308472
 81.361320 51.527996 87.574364
 40.343636 99.086258 94.150772
 92.665710 92.040710 27.352531
 60.765659 97.986588 98.902756
 98.664764 70.761749 82.020042
 60.724152 62.500450 58.536518
 67.486748 60.326714 97.693138
 51.464436 65.205368 98.915276
 30.703903 55.558472 32.067379
 45.103359 27.126375 85.369759
 58.586464 98.672729 99.887970
 82.623306 10.029508 86.004005
 99.159454 18.582062 99.769577
 89.226723 20.918184 57.050594
 69.835098 21.079723 98.890839
 90.702660 40.871689 89.711044
 82.936783  7.609272 54.751221
 33.765877 76.698799 95.305107
  0.061622 87.344841 99.126938
 81.989594 17.071100 75.046005
 34.500507 95.814346 76.793510
 65.193733 58.909588 99.376404
 28.432758 63.819416 99.985420
 47.146729 10.009680 97.940399
 48.634361 27.722275 94.785469
 85.667610  7.762178 98.494118
 13.947918 92.723488 98.427078
 69.616486 48.836761 88.781296
 61.581547 15.268612 83.656204
  3.806901 87.728050 99.446236
 72.134781 82.882431 99.828865
 13.730075 89.031570 97.959160
 74.705864  8.472212 97.170212
 83.702568 46.359848 63.676590
 20.059792 56.316273 89.100677
 32.768711 56.249035 99.716469
 41.056515 63.579880 98.945923
 22.892414 83.986412 99.674171
 93.959633 92.184631 99.517860
 40.783302 68.800255 63.854626
 97.389931 14.345599 99.502602
 65.949692 65.755821 90.829437
 10.562222 14.712518 31.647552
  1.762959  1.054672 61.184612
  9.128942 51.082222 49.600624
 74.684769 79.539062 83.673065
 16.099159  6.102994 75.023087
 40.102982 46.164536 99.901741
 91.007004 95.995415 99.719002
 80.962555 74.080650 83.226852
 77.089424 75.127808 99.980743
  0.790792 19.056408 82.322441
 51.820328 57.181587 99.113708
 32.680069 67.671379 48.544380
 96.352661 73.043839 56.312450
  3.996768  8.297803 98.945984
  9.465814 11.016410 98.808861
 63.314472 15.174404 66.781967
 16.681742 41.335373 71.141899
 28.328226 19.529640 14.133805
 45.969704 29.028656 80.436821
 78.563660  1.496870 99.870171
 13.177838 16.632881 15.644556
 63.071144 64.629364 74.378334
 13.674494 10.561232 81.520393
 20.217926 32.995811 99.134346
 68.766190 48.394154 99.593964
  0.061598 15.937729 99.173615
 25.855206 57.188179 89.899689
 90.056747 26.331112 78.664864
 23.012558 45.033695 50.106827
  1.484335 12.752934 88.912071
 55.331348 84.175896 99.870979
 52.912987 99.867607 72.384087
  7.055685 10.576807 99.071579
 29.431072 15.023047 98.265808
  7.814946 89.635872 93.843773
 21.075745 23.535913 65.669022
  8.812495 42.217106 14.947282
 96.094353  8.935419 99.773132
 80.400742 83.389359 99.826942
 57.281368 85.416748 99.433533
 27.362030 31.593420 76.360420
 19.792559 99.759262 76.709908
