 ITEM: STEP
        91
 ITEM: DT
 0.01
 ITEM: TIME
 0.91
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
  8.854810 34.907112 87.448318
 71.251587 86.577560 99.390167
 19.035271 87.124977 74.897133
  9.223847 29.264261 83.197884
  0.593957 93.914963 99.501778
 16.328646 62.482262 54.868599
 11.469876  9.556489 99.524925
 58.331707 55.957771 99.488350
 97.409859 99.466591 99.916153
 12.498360 95.540512 17.715113
 96.246254 23.268600 98.257629
 18.694572 87.168320 99.699448
 88.137787  3.963837 56.804085
 95.274094 85.755577 99.702721
 10.573720 18.266148 36.898705
 53.844398 56.312382 79.798965
 82.384514 53.774689 89.118011
 37.569817 97.451057 94.355598
 95.636024 92.152016 27.364588
 58.031548 97.761375 98.188408
 99.229439 68.287651 82.926392
 58.163055 61.687050 58.854378
 69.009064 58.510101 99.908249
 50.489548 65.902222 99.268799
 29.464165 56.671238 32.687054
 47.566860 28.756014 87.520630
 57.102177 97.396133 99.903183
 81.293182 12.503869 88.688675
 97.650665 21.984531 99.969482
 89.131393 20.811148 57.346195
 71.533539 18.586874 98.396912
 88.760391 43.427017 90.519501
 82.128944  9.420518 55.958584
 33.603771 78.570869 95.341316
  2.717180 85.791466 99.121544
 80.624039 18.353193 76.818695
 33.375061 96.170944 78.606506
 69.369270  7.982727 99.701431
 30.529087 61.813141 99.809258
 46.168259 11.367261 98.977280
 51.100163 29.776060 95.139458
 83.772057  8.056535 98.561569
  6.285561 40.060410 98.692924
 70.551239 47.939384 88.786423
 62.744953 14.554841 84.820618
  1.228294 86.481331 99.706787
 69.697327 81.588676 99.866013
 13.665573 87.136292 99.172691
 77.353455  6.121967 99.897263
 50.872131 40.903252 24.946556
 18.278061 57.484852 91.110397
 34.724701 54.426689 99.679893
 40.722485 62.891666 99.110573
 23.946684 84.720322 99.974297
 91.929749 91.020012 99.967430
 43.310295 67.524948 65.040764
 95.612709 12.358446 99.618591
 64.243286 66.425507 91.456459
 10.691106 15.298850 32.164871
  0.169982  1.869301 61.243492
  8.374087 48.773331 51.132816
 75.697227 78.688171 84.198647
 17.924973  3.179998 77.561134
 37.923409 46.156822 99.506859
 91.507637 97.750320 99.412704
 80.240845 76.664200 85.325836
 77.463715 77.946785 99.915627
  1.530608 20.862864 84.874886
 53.194397 58.142399 99.907730
 31.234646 67.102081 48.917870
 99.263191 74.889954 56.695805
  7.642013  9.471200 98.781410
 12.907590 13.494562 98.487495
 64.265366 15.078611 68.098541
 13.853251 41.231483 72.293678
 27.068512 19.435833 14.506989
 43.128181 27.349058 80.962013
 76.708206  1.204642 99.702393
 15.714713 14.396703 15.649777
 62.537209 67.586266 75.897125
 13.589118  8.062683 83.100410
 20.386904 35.836773 98.872437
 67.311737 48.976589 99.530815
  2.343745 18.573790 99.945740
 25.667757 54.738663 91.742851
 88.554321 25.724552 79.582245
 22.990374 43.757874 51.693951
  0.111777 10.631044 89.972275
 56.860130 82.899910 99.328239
 51.186852 97.546921 74.778923
  5.918851 10.192801 99.941940
 28.492863 17.805260 98.988503
  5.473743 87.276604 95.572792
 19.180592 25.090387 67.391769
  9.076542 44.805141 15.068366
 97.558006 10.427869 99.931335
 81.396744 83.713844 99.653084
 56.625923 83.049644 99.811478
 25.440950 29.208832 77.478897
 22.158447 99.754051 76.814415
