 ITEM: STEP
        33
 ITEM: DT
 0.01
 ITEM: TIME
 0.33
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
 24.239616  9.830822 37.553844
 30.432785 98.576515 99.419075
 38.509979 59.570461 43.729599
 26.000526 86.540192 82.096046
 11.293615 53.651783 82.571297
 38.671925 87.834167 30.656057
 13.279505 42.255756 84.931496
 39.280739 76.849747 80.218208
 94.947906 99.752289 80.353127
 34.976723 95.620895  7.790504
 93.694199 36.709827 97.950317
 19.602819 73.167572 98.425323
 20.270618 67.717941 69.301140
 82.900948 83.446747 99.492630
 10.409811 12.147162 33.821304
 72.318855 41.242435 70.316086
 62.602795 10.338684 59.274155
 91.196983 70.935066 90.395622
 38.209854 90.000114 27.131498
 89.104836 97.884804 74.662834
 88.312401 83.879784 65.403641
 92.322418 77.412788 52.709091
 39.577805 93.631271 53.718563
 69.338112 52.430561 83.782570
 53.432442 35.157757 20.706676
  0.060821  2.750302 45.937122
 82.117889 74.682457 98.516754
 92.991089 35.333786 36.785065
 78.105865 22.108364 99.414253
 90.974426 22.880522 51.631245
 38.697018 66.782028 73.082581
 73.689087  5.976015 74.889343
 97.747154 25.596897 32.616230
 36.737812 42.377644 94.641273
 51.010117 84.176064 79.274216
 92.975235  6.433941 42.546692
 55.133690 89.276718 43.555122
 59.533386 75.856209 89.248047
 10.000857 99.399338 92.417397
 65.085342 14.879306 78.930923
  3.428021  9.930445 88.295677
 79.580933  2.366155 65.192413
 83.533730 58.499058 97.785805
 52.479477 65.288673 88.687302
 40.252430 28.354362 62.308605
 51.083786 89.421196 98.598381
 83.178558 93.398735 96.204544
 14.912556 76.221649 75.711082
 26.166853 51.559982 43.407242
 13.923328 66.774857 99.907333
 52.724854 34.892323 52.255749
  3.090974 89.658340 83.417892
 47.180500 76.197441 80.971573
  3.564618 70.531052 92.240952
 68.824638 86.466438 97.908592
  5.544979 92.180878 42.108620
 70.036133 50.784790 77.531212
 97.233795 53.478077 79.334038
  8.199361  3.963082 22.163376
 37.200214 13.880209 60.105148
 22.967928 93.411896 21.510473
 56.122936 95.138733 74.037407
 17.374134 59.691235 28.492222
 80.061401 46.306114 99.310341
 81.828728 63.822147 62.382370
 94.193909 26.715588 44.745590
 70.227432 23.446537 94.526863
 12.772515 14.061992 35.527622
 26.629080 39.566708 98.135147
 59.179493 78.108505 41.697075
 42.992943 39.198238 49.284290
 51.669262 11.481861 61.766983
 42.492241 36.137375 99.666298
 45.881496 16.930605 42.644779
 68.537392 43.240013 50.026089
 51.422897 21.249439  7.292113
 98.064278 59.821190 70.808296
 92.338860 28.552799 95.542404
 33.331543 57.629433 15.548831
 72.859962 10.419462 46.533958
 15.239681 56.367882 52.553692
 17.120001 19.088448 70.564896
 95.431152 37.716167 94.050896
 41.759331 32.384579 59.456429
 29.291761 97.904022 56.108421
 82.398773 37.451374 61.846233
 23.419271 68.423721 21.009556
 30.746405 51.654182 69.475006
 27.304522 92.429214 59.015961
 84.558800 52.467285 28.478916
 27.937893 17.600779 70.338776
 46.631580 35.984158 80.876442
 50.736958 67.110878 62.145092
 55.820217  4.962812 34.085110
  3.971661  5.230217 12.727405
 69.261932 18.428452 93.566795
 62.141060 77.440453 99.653084
 69.296974 71.188171 69.601570
 62.581913 75.310921 55.855015
 23.582056 99.754051 74.793938
