 ITEM: STEP
        11
 ITEM: DT
 0.01
 ITEM: TIME
 0.11
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
 30.075226  0.319139 18.628294
 14.951865 96.867622 99.419075
 60.337517 39.351566 31.907402
 39.361477 91.734406 81.678108
 15.351812 38.379665 71.616280
 59.534176 68.988678 21.471991
 22.667212 61.908672 63.559078
 32.054268 84.773788 67.086891
 94.014343 99.455536 60.790089
 43.502998 92.268326  4.026007
 92.726227 41.808170 97.833832
 19.947409 67.857071 94.299820
 40.075745 61.378166 55.796364
 86.927254 90.245880 93.929703
 18.369022 23.683187 32.654015
 79.326454 35.526249 66.719131
 55.099461  6.137028 47.954071
 88.461678 58.943562 88.893562
 16.427467 89.183876 27.043085
 69.053032 96.233360 53.331707
 84.171455 65.736397 58.757080
 73.541046 83.377724 50.378120
 28.414236 93.046906 36.128735
 76.487709 47.320721 70.465782
 62.523857 26.997473 16.162395
 18.126490 14.700965 30.164070
 82.886963 56.416542 92.730576
 83.236847 53.479103 17.097456
 70.136841 33.425343 99.163994
 91.673508 23.665457 49.463505
 26.241768 85.062881 53.192795
 59.445816 24.715099 68.960663
 96.328697 38.879360 23.762232
 37.926586 28.649212 94.375740
 71.389557 72.784477 66.431595
 82.961166 15.835957 29.546957
 63.386963 86.661667 30.259737
 66.046173 73.899117 81.696457
 25.374531 84.686905 87.900139
 72.260788 24.834883 71.327133
 14.654503 24.991537 85.699760
 65.680374  0.207792 43.600697
 97.408791 47.723804 83.570702
 45.624702 71.869438 88.649704
 31.720783 33.588661 53.769489
 69.994171 80.277748 99.706688
 65.303894 83.911201 89.491852
 15.385548 62.322941 66.811852
  6.751240 68.795090 21.902033
  8.185007 46.067184 95.801651
 65.790878 26.322769 37.517719
 17.434774 96.978043 70.137527
 49.630222 81.244926 66.719711
  4.166370 65.149048 84.507584
 53.938091 77.927238 86.584984
 24.076302 98.466873 33.410217
 57.006695 65.360672 58.196476
 90.252563 48.566967 74.735878
  7.254216  0.336697 18.369705
 51.375118 19.854166 59.673363
 28.503511 89.656235 10.274439
 48.698154 98.621399 70.183144
 30.763449 81.126579  9.879913
 96.044769 46.362762 99.506859
 78.157417 50.952839 43.279907
 99.486450  7.769599 29.353127
 67.482635  2.774035 92.247147
 18.197901 27.309410 16.809662
 16.552614 32.520756 80.336502
 69.779221 82.283356 38.958153
 21.649036 25.659977 46.473026
 73.390923 19.308929 44.125961
 62.728088 55.083908 96.903374
 38.908306 17.633085 32.989902
 89.279716 44.001869 41.579792
 60.660759 21.937359  4.555436
 81.097893 72.138252 66.956886
 81.824776 44.334919 88.218582
 51.935333 74.028053 15.510541
 76.775490 11.264504 35.396240
 15.865749 74.690529 40.967068
 15.880830 39.922165 55.948017
 93.902863 33.444973 87.632607
 58.484833 51.712963 40.093300
 30.666384 79.940903 42.591980
 71.380981 41.899479 55.118855
 23.581957 77.779663  9.370636
 42.451199 67.214676 61.700157
 16.093790 83.071259 41.392227
 97.217125 33.507156 10.916824
 36.291119 20.410364 48.629818
 53.511784 56.387012 60.741398
 67.905762 49.809505 49.465618
 69.718040 16.362309 21.451576
  2.035324 24.209145 11.839454
 58.529099 29.374317 87.064919
 54.837128 75.060890 99.306969
 74.103264 53.830093 52.986259
 76.669800 92.797859 47.652851
 40.931885 94.887184 74.027550
