 ITEM: STEP
        22
 ITEM: DT
 0.01
 ITEM: TIME
 0.22
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
 27.157421  5.074981 28.091070
 22.692326 99.145554 98.823479
 49.423748 49.461014 37.818501
 32.681011 97.402893 81.887077
 13.322714 46.015724 77.093788
 49.103050 78.411423 26.064024
 17.973358 52.082214 74.245285
 35.667503 80.811768 73.652550
 94.481125 99.603912 70.571609
 39.239861 93.944611  5.908256
 93.210213 39.258999 97.892075
 19.775114 70.512321 96.362572
 30.173174 64.548073 62.548752
 84.914101 86.846313 98.565475
 14.389420 17.915178 33.237659
 75.822655 38.384342 68.517609
 58.851128  2.100828 53.614113
 98.632347 64.939331 89.644592
 27.318661 89.591995 27.087292
 79.078934 97.059082 63.997272
 86.241928 74.808090 62.080360
 82.931732 80.395256 51.543606
 33.996021 99.707817 44.923649
 72.912910 49.875641 77.124176
 57.978149 31.077616 18.434536
  9.093653  8.725634 38.050594
 82.502426 65.549500 95.623665
 88.113968 44.406445 26.941265
 74.121353 27.766853 99.769691
 91.323967 23.272989 50.547375
 32.469402 75.922455 63.137669
 66.567436 15.345561 71.925003
 99.290771 32.238129 28.189230
 37.332199 35.513428 94.508507
 61.199837 78.480270 72.852905
 87.968201 11.134949 36.046829
 59.260326 87.969193 36.907429
 62.789780 74.877663 85.472252
 17.687698 92.043121 90.158768
 68.673065 19.857096 75.129028
  5.613242 17.460991 86.997719
 72.630653  1.286974 54.396553
 93.062469 53.111431 90.678253
 49.052090 68.579056 88.668503
 35.986607 30.971512 58.039047
 60.538967 84.849472 99.445847
 74.241226 88.654968 92.848198
 15.149052 69.272293 71.261467
 16.459042 60.177525 32.654648
 11.054168 56.421017 99.682098
 59.257866 30.607538 44.886734
 10.262875 96.340149 76.777710
 48.405361 78.721184 73.845642
  0.300876 67.840050 88.374268
 61.381378 82.196838 92.246788
 14.810640 96.857002 37.759418
 63.521412 58.072735 67.863831
 96.509384 51.022522 77.034958
  7.726789  1.813192 20.266541
 44.287666 16.867188 59.889256
 25.735720 98.122169 15.892456
 52.410545 98.258667 72.110275
 24.068783 70.408897 19.186068
 88.053085 46.334438 99.901741
 79.993073 57.387493 52.831139
 96.840179 17.242594 37.049358
 68.855034 13.110285 93.386993
 15.485205 20.685698 26.168646
 21.590847 36.043732 91.100677
 64.479378 80.195930 40.327614
 32.320999 32.429108 47.878658
 62.530075 15.395395 52.946472
 52.610165 45.610641 98.808716
 42.394901 17.281845 37.817341
 78.908554 43.620941 45.802940
 56.041828 21.593399  5.923774
 91.516808 65.979706 68.882591
 87.081818 36.443859 91.880493
 42.633438 65.828743 15.529686
 74.817726  0.422521 40.965099
 15.552715 65.529205 46.760380
 16.500416 29.505306 63.256439
 99.235855 35.580570 90.841751
 50.122082 42.048771 49.774864
 29.979073 88.922462 49.350201
 76.889877 39.675426 58.482544
 23.500614 73.101692 15.190101
 36.598804 59.434422 65.587593
 21.699156 87.750237 50.204094
 90.887962 42.987221 19.697870
 32.114506 19.005571 59.484295
 50.071682 46.185585 70.808914
 59.321350 58.460197 55.805355
 62.769112 10.662560 27.768339
  3.003493 14.719681 12.283429
 63.895535 23.901382 90.315857
 58.489094 76.250671 99.826942
 71.700119 62.509151 61.293915
 69.625862 84.054390 51.753933
 32.256981 99.759262 74.410744
